target,scenario,pid,iteration,margin,word_count,predicted_class
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,0,3.4453277587890625,151,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,1,1.8301386833190918,160,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,2,2.0041558742523193,166,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,3,1.869946002960205,169,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,4,2.5517737865448,162,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,5,1.830388069152832,168,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,6,3.283513069152832,158,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,7,2.942131996154785,160,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,8,3.6391944885253906,162,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,9,1.121596097946167,163,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,10,2.8423798084259033,150,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,11,2.047649621963501,168,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,12,1.5947295427322388,167,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,13,2.889641523361206,163,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,14,2.1634695529937744,161,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,15,2.135545015335083,160,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,16,2.322908401489258,158,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,17,1.7982921600341797,168,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,18,0.668036699295044,151,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,19,1.9061541557312012,149,AI
target_00,apology,93d4e6ef-1df0-4690-a934-51f2ff067a1f,20,1.7457787990570068,156,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,0,3.4568142890930176,160,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,1,4.574838161468506,140,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,2,2.5394136905670166,129,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,3,0.49074169993400574,148,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,4,4.152787208557129,143,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,5,0.7542577981948853,147,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,6,0.02731648087501526,138,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,7,0.2585351765155792,142,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,8,-0.6244621276855469,135,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,9,-0.519368052482605,149,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,10,0.20980271697044373,153,AI
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,11,-1.190798282623291,133,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,12,-0.675871729850769,137,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,13,-0.5486713647842407,128,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,14,-0.80274498462677,137,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,15,-1.3712530136108398,131,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,16,-0.8839989900588989,136,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,17,-1.431919813156128,133,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,18,-1.3401730060577393,135,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,19,-1.4729173183441162,131,Human
target_01,thank,8891e9bd-553c-4445-8692-af9aa1df345b,20,-1.1693743467330933,135,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,0,3.2617571353912354,168,AI
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,1,2.845102548599243,145,AI
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,2,1.8668758869171143,132,AI
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,3,0.4140203297138214,89,AI
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,4,-0.5057693123817444,138,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,5,-0.3114244043827057,153,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,6,-1.0088640451431274,103,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,7,-1.043131947517395,118,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,8,-0.6992477178573608,144,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,9,-1.0215576887130737,128,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,10,-1.1973592042922974,148,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,11,-1.3799171447753906,149,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,12,-0.8617329597473145,168,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,13,-1.0716577768325806,127,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,14,-1.5981093645095825,162,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,15,-1.1682826280593872,165,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,16,-1.1997663974761963,158,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,17,-0.9951295852661133,165,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,18,-1.3493231534957886,166,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,19,-0.9274966716766357,169,Human
target_02,letter,8891e9bd-553c-4445-8692-af9aa1df345b,20,-0.7992511987686157,167,Human
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,0,2.8009860515594482,155,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,1,1.5971040725708008,152,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,2,2.0214474201202393,157,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,3,1.9179232120513916,151,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,4,2.2636659145355225,164,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,5,1.7494244575500488,112,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,6,2.0589492321014404,144,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,7,1.0525822639465332,141,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,8,1.4169533252716064,143,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,9,1.395930290222168,132,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,10,0.7697494029998779,146,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,11,0.8816802501678467,155,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,12,0.5701074600219727,143,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,13,0.6436420679092407,148,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,14,0.7180635929107666,146,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,15,0.6398105621337891,147,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,16,0.6583559513092041,145,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,17,0.6372939348220825,141,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,18,0.4956924617290497,144,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,19,0.24766388535499573,145,AI
target_03,reassurance,572392a4-224e-4261-ad20-1c06fabc9220,20,0.03885325789451599,147,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,0,2.6697003841400146,149,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,1,3.680673837661743,162,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,2,1.9095780849456787,133,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,3,2.7126739025115967,147,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,4,3.3975679874420166,135,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,5,1.578014612197876,139,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,6,2.033447504043579,139,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,7,2.498248815536499,144,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,8,1.0751497745513916,126,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,9,1.0112740993499756,126,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,10,1.4067010879516602,129,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,11,0.6752678155899048,130,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,12,0.771781325340271,132,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,13,1.2683587074279785,136,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,14,0.6752678155899048,130,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,15,1.7045786380767822,140,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,16,0.7289706468582153,132,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,17,0.4440934956073761,134,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,18,1.1663837432861328,138,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,19,0.46834298968315125,135,AI
target_04,wedding,572392a4-224e-4261-ad20-1c06fabc9220,20,0.6006292104721069,137,AI
